Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),COX(57),CHOX(60)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592108348e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,2.1392529064533496e-133,1.4975391986883802e-63,1.2682205783516787e-43,1.9749300081601401e-70,3.7875373604443221e-57,7.0141377088843389e-47,1.5046550040455452e-26,-1.0413440769449661e-108,1.5046550040425947e-26,4.9607367150809483e-69,4.961932573129507e-75,5.5588779500499351e-71,4.1790427989058904e-100,7.0141377089293653e-47,4.4039112471780167e-86,2.8689670379048399e-18,1.3794248471137772e-19,5.3170486719236452e-23,6.2640572240856371e-38,5.3170486719263242e-23,1.3419040096698334e-35,4.8911707360192179e-44,9.542632203554104e-51,5.2136492870562878e-76,8.649334152143284e-60,3.7262859392879487e-88,6.8114352738362503e-66
1.9919884857903374e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.6507433811508094e-131,1.777878537440153e-62,7.6600528479529518e-43,2.3446369056917849e-69,5.7237264591280841e-56,4.2365391761741656e-46,4.2130340113370897e-26,6.1943917691771502e-108,4.2130340113192673e-26,7.4966653238092812e-68,1.5601109235806723e-73,6.5994999023120436e-70,9.5172833633574358e-99,4.2365391762276197e-46,1.2419734342807912e-84,8.0331077061335464e-18,3.8623895719185755e-19,1.4887736281381868e-22,3.7834903994591112e-37,1.4887736281398057e-22,8.1051001898785091e-35,5.8067978758122108e-43,1.136174608896366e-49,1.1662839922352218e-74,1.02684901863905e-58,8.3355525947474079e-87,8.0865359565651186e-65
4.5531165389493426e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.7990608862450519e-129,1.7455316922560402e-61,3.6879862739098688e-42,2.3019784175240661e-68,6.1573237361486014e-55,2.0397112457556028e-45,9.6297920259584329e-26,3.6202865178558365e-106,9.6297920258726218e-26,8.0645704630365381e-67,3.4805213394881601e-72,6.4794281386177623e-69,1.948280993046304e-97,2.0397112458080852e-45,2.7015635005208976e-83,1.8361389042590942e-17,8.8283190215281738e-19,3.4029111500280966e-22,1.8215875949312053e-36,3.4029111500358915e-22,3.9022568173289501e-34,5.7011485417356116e-42,1.1224364820058304e-48,2.3044272369431407e-73,1.0081665998732714e-57,1.646964726646387e-85,7.9394089535303712e-64
9.675372645267353e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,1.4717435090203103e-127,1.5439030169689642e-60,1.6106409943052338e-41,2.0360738412392521e-67,5.6596413269718847e-54,8.9079548904074887e-45,2.0463308055354124e-25,1.4262630718681551e-104,2.0463308054979366e-25,7.4127296588384797e-66,6.5186301087374587e-71,5.7309808114665522e-68,3.7076540194714032e-96,8.9079548908716846e-45,5.008243429069266e-82,3.9017951715505652e-17,1.8760177920747369e-18,7.2311861938009756e-22,7.9553501343159123e-36,7.2311861938350179e-22,1.7042180480633997e-33,5.0426012388527595e-41,1.0051164812735588e-47,4.1007736224380123e-72,8.9171219705819734e-57,2.9306857340761928e-84,7.0223173064425789e-63
1.9919884857903373e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,1.0592244923634444e-125,1.2977435174106488e-59,6.7241132446077479e-41,1.7114427462394796e-66,4.84194231112798e-53,3.7188958133624157e-44,4.2130340114757544e-25,5.0394383123833111e-103,4.2130340113193007e-25,6.3417462882035919e-65,1.1259308422409765e-69,4.8172346896167887e-67,7.0654328250925259e-95,3.7188958137526017e-44,8.6078908432252008e-81,8.0331077061334819e-17,3.862389571918576e-18,1.4887736281318973e-21,3.3212008539654309e-35,1.4887736281461095e-21,7.1147746613138691e-33,4.2386100413809294e-40,8.6561034439252471e-47,6.9171425883418288e-71,7.4953826297894956e-56,4.9430298485403581e-83,5.9026808190435578e-62
4.0408909283175414e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,7.1797685118381256e-124,1.0639685493331466e-58,2.7470230531975958e-40,1.4031441644248598e-65,4.0034115367880986e-52,1.5192902843899581e-43,8.5464404236012517e-25,1.6930418069087815e-101,8.546440422962084e-25,5.2434784689158119e-64,1.8707495975333084e-68,3.9494600437415575e-66,1.42720109244195e-93,1.5192902847098562e-43,1.4266947801065827e-79,1.6295732775299191e-16,7.8351331316062504e-18,3.0200836456243919e-21,1.3568179152799355e-34,3.0200836456824526e-21,2.906617424169533e-32,3.4750683693651944e-39,7.4370682368149358e-46,1.1363494475784015e-69,6.1451746107094759e-55,8.1189413691798532e-82,4.8393743548622636e-61
8.13869581337195e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,4.7274819886146385e-122,8.6162932848102748e-58,1.1103933802066398e-39,1.1363025233888703e-64,3.2555077746810935e-51,6.1412142435178599e-43,1.7213253248831492e-24,5.5500260259602815e-100,1.721325324624788e-24,4.2639096102169619e-63,3.0497896387925314e-67,3.1983751403032208e-65,3.1782119442654396e-92,6.1412142461084742e-43,2.3230026033313814e-78,3.2820982913630138e-16,1.5780620250981591e-17,6.0827036805649623e-21,5.4844668518780293e-34,6.0827036807996534e-21,1.1749010947016381e-31,2.8142000924966672e-38,6.5738654407318063e-45,1.8428283966641111e-68,4.9765331897321717e-54,1.3161153828255e-80,3.9190508128415825e-60
1.6334305583480766e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,3.0686489621008105e-120,6.9351426290962915e-57,4.4648649878842604e-39,9.1459512701899923e-64,2.6256849590539233e-50,2.4693552375959043e-42,3.4546878903208976e-24,1.7974686767550795e-98,3.4546878892820405e-24,3.438997572633958e-62,4.9254043366380851e-66,2.5743305656104557e-64,7.9034119525397073e-91,2.4693552396810506e-42,3.7493355687480593e-77,6.5871483190290144e-16,3.1671594489732221e-17,1.2207943750268429e-20,2.205273487041992e-33,1.2207943751212108e-20,4.7242244941542211e-31,2.2651124682990587e-37,6.1784257285770989e-44,2.970815901899956e-67,4.005565316768083e-53,2.1195632504252539e-79,3.1543930294358492e-59
3.27255251236984e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,1.9778248753502212e-118,5.5650155094104579e-56,1.7906282365523638e-38,7.3390499042070728e-63,2.1090929498334107e-49,9.9032189514410933e-42,6.9214130227631955e-24,5.7864727584274214e-97,6.9214130185969144e-24,2.7623898730752073e-61,7.9173983646391565e-65,2.0657381537814069e-63,2.1627801999784028e-89,9.9032189681729923e-42,6.0250816096239022e-76,1.3197248374360257e-15,6.3453542967233345e-17,2.4458423888964664e-20,8.8440807796602884e-33,2.445842389274924e-20,1.8946244089997184e-30,1.8176091474766416e-36,6.3816536433611789e-43,4.7820329915899037e-66,3.2142435263042517e-52,3.4023684292608511e-78,2.531201726191161e-58
