Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),H2OX(23),COX(50),CHOX(53),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914361e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-9.0701164551788099e-124,9.4127215363624391e-66,8.3315405302636194e-42,4.514439996600148e-92,8.8692592877295109e-58,2.2459623980550001e-141,7.4501587477856517e-25,-1.9995353783816932e-118,7.4501587477855755e-25,2.9246495346376909e-80,2.3874573608386429e-73,9.9100295809608817e-120,5.9880983217979703e-121,8.7436894740769488e-56,1.9198827991122223e-95,2.9546266505694328e-18,1.4206107501034383e-19,5.4758013950205903e-23,5.4758013950324169e-23,5.9155848177711268e-35,9.2297140487723427e-43,7.4661539829162115e-49,6.6436973521685544e-38,2.470113426187603e-79,5.8518103591780178e-58,2.4629459252574905e-54,8.7721370101531627e-110,-3.3613673093490636e-112,-1.0042433551625441e-111
2.051463885776021e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.6443624916340048e-121,2.1055950552081551e-64,5.0322509153519249e-41,4.9920712213886689e-90,1.3403224635507303e-56,8.1097086566625944e-139,2.0860444493800071e-24,3.8595021568032051e-117,2.0860444493799612e-24,8.2479796315388069e-79,7.5065479632410136e-72,1.9824433299085154e-117,1.1978839699269332e-118,1.0380508141238928e-54,9.9378662943741715e-94,8.2729546215944087e-18,3.9777101002896271e-19,1.5332243906038508e-22,1.5332243906109938e-22,3.5730131761023034e-34,1.0957516361159608e-41,8.8701791086670512e-48,4.0127931997029408e-37,1.5037512182101896e-77,6.9472698084624432e-57,2.9240094017839351e-53,1.7548145908349724e-107,3.4042159458824542e-110,1.0170448307349415e-109
4.6890603103451914e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,6.9519862498204157e-119,4.1603071037213496e-63,2.4228126388096869e-40,4.5232882293337064e-88,1.4418577438683337e-55,2.9407565373476474e-136,4.7681015985829885e-24,4.0752591732664211e-115,4.7681015985827681e-24,1.7941157282616279e-77,1.6746695564767785e-70,3.5944275444400157e-115,2.1719194044587706e-116,1.0191644443589891e-53,4.3392613524224515e-92,1.8909610563644344e-17,9.0919088006620048e-19,3.5045128927997758e-22,3.5045128928341637e-22,1.7202519842606602e-33,1.0758154206866019e-40,8.7222684923530442e-47,1.9319871885003156e-36,6.7990007697711183e-76,6.8208718598013716e-56,2.8708097683666817e-52,3.1817070406896429e-105,7.1397179051828996e-108,2.1330647951694649e-107
9.964253159483531e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,2.2429045856435681e-116,7.4030491838860652e-62,1.0581063217060991e-39,3.4336811418440776e-86,1.3253156768162739e-54,8.943773924080929e-134,1.0132215896989338e-23,3.2211529788205386e-113,1.0132215896988375e-23,3.3259881935188178e-76,3.1364707367716878e-69,5.4629905614432173e-113,3.3009916209583258e-114,9.0143940846665408e-53,1.6153982032388475e-90,4.0182922447744138e-17,1.9320306201406762e-18,7.4470898971609896e-22,7.4470898973111708e-22,7.5127918841818151e-33,9.5154649701180451e-40,7.7387168684434872e-46,8.4374956216476194e-36,2.5750245465912638e-74,6.032985988699252e-55,2.5391987266652155e-51,4.8357173199017451e-103,1.1508883780291324e-105,3.4383984292075647e-105
2.0514638857760212e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,6.4548294267494283e-114,1.2486328533172557e-60,4.4173888584086138e-39,2.3999024067274099e-84,1.1338354641841113e-53,2.5025816688610936e-131,2.0860444493803597e-23,2.2830391584023484e-111,2.0860444493799571e-23,5.7165239108959342e-75,5.4174732013328223e-68,7.6408797093187036e-111,4.6169729952265934e-112,7.5771413710315757e-52,5.5652917393337323e-89,8.2729546215943406e-17,3.9777101002896277e-18,1.5332243905760867e-21,1.5332243906387842e-21,3.136442319433574e-32,7.9983206585023296e-39,6.5451805211013598e-45,3.5224883220739647e-35,8.9884646420718989e-73,5.0710917248934113e-54,2.134349523641087e-50,6.7635361860377079e-101,1.6554409156856702e-103,4.9458014833797049e-103
4.161541025431357e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.7664620180736621e-111,2.0508835310124991e-59,1.8046501436585286e-38,1.6187752536203748e-82,9.3747708797920166e-53,6.7548012899536317e-129,4.231690168743833e-23,1.5363806920095583e-109,4.2316901687421885e-23,9.4747191519282669e-74,9.0012127117729362e-67,1.0310519498764502e-108,6.2300928553437807e-110,6.2121982627758042e-51,1.8469174199951451e-87,1.678227937523407e-16,8.069069060587526e-18,3.1102551922470429e-21,3.1102551925031829e-21,1.2813386980654347e-31,6.557504876310975e-38,5.4322601158606579e-44,1.439051409377002e-34,3.0298440634622436e-71,4.1575930964330151e-53,1.7498686843605895e-49,9.1266417437647794e-99,2.2647749955414077e-101,6.7662502712248775e-101
8.381695304742029e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,4.7574889951929953e-109,3.3245708203190202e-58,7.2947059176398038e-38,1.0822650871439942e-80,7.6234079866024095e-52,1.8066082683653064e-126,8.5229816074732689e-23,1.0080755679070458e-107,8.5229816074666203e-23,1.5427123977118509e-72,1.4674248387007992e-65,1.3787550504956038e-106,8.3310758375169468e-108,5.0307991751516825e-50,6.0179115165034589e-86,3.3800928882513025e-16,1.6251786981183313e-17,6.2643167953928771e-21,6.2643167964282383e-21,5.1793732260394437e-31,5.3104348110507247e-37,4.5062881633431778e-43,5.8168758314742261e-34,1.0126963343183977e-69,3.3669359436087228e-52,1.4170890175256442e-48,1.2204431983513649e-96,3.0495999600127919e-99,9.110996298725612e-99
1.6822003863363374e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,1.2919961836201949e-106,5.3541189432717362e-57,2.9331864550279379e-37,7.3215744021143e-79,6.1485547171638297e-51,4.8880790430473244e-124,1.7105564484942096e-22,6.5321796560344363e-106,1.7105564484915363e-22,2.4899440292821906e-71,2.3698949947963764e-64,1.8653059213331627e-104,1.1271041274578585e-105,4.049224781148892e-49,1.9431471616472518e-84,6.7838227897068934e-16,3.2617222822374845e-17,1.257244000090024e-20,1.2572440005063381e-20,2.0826010553363117e-30,4.2742956632477564e-36,3.7994651961188308e-42,2.338940148275634e-33,3.4260792968161942e-68,2.710017872782366e-51,1.1405965067843136e-47,1.6511271687257967e-94,4.1410427305396717e-97,1.2371794875073245e-96
3.370262098060606e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,3.626192083512703e-104,8.5945465627301631e-56,1.1763528256133271e-36,5.1275876073463366e-77,4.9388535200472164e-50,1.3688091000076522e-121,3.427073023991958e-22,4.2065408388577036e-104,3.4270730239812366e-22,4.0012732095076866e-70,3.8095368620360181e-63,2.6120358872258495e-102,1.5783129150182576e-103,3.2492477718476741e-48,6.2460729164647727e-83,1.3591282592617271e-15,6.5348094504757748e-17,2.5188686408777727e-20,2.5188686425473806e-20,8.3521445401568805e-30,3.4298462310987824e-35,3.3255313509238378e-41,9.3801957902116423e-33,1.2003218931942512e-66,2.174642598267586e-50,9.1525683477966719e-47,2.3121158644955515e-92,5.8119423321254632e-95,1.7363780977010306e-94
